can_id,can_nam,net_ope_exp,net_con,tot_loa,can_off,can_inc_cha_ope_sea,winner
H8LA02054,"RICHMOND, CEDRIC L.",622731.05,1320239.61,0.0,H,INCUMBENT,True
H6FL24038,"HILL, RANDAL",126566.33,106566.33,20000.0,H,CHALLENGER,False
H6FL02240,"LAPHAM, ROBERT B",16956.44,6496.6,11540.0,H,OPEN,False
H2WA10048,"FERGUSON, JENNIFER GIGI",8817.79,11495.04,0.0,H,CHALLENGER,False
H2UT02324,"STEWART, CHRIS",709400.12,826259.4,0.0,H,INCUMBENT,True
S4NH00112,"RUBENS, JIM",98959.0,99761.0,0.0,S,CHALLENGER,False
H6AZ01231,"MALNES, BRIAN EDWARD",25000.0,30000.0,0.0,H,OPEN,False
H4IL09074,"WILLIAMS, DAVID EARL III",79232.66,90556.66,0.0,H,CHALLENGER,False
S6ID00096,"RATY, TIMOTHY  AARON",217.0,433.0,0.0,S,CHALLENGER,False
H6CA16135,"ROGERS, DAVID BRYAN",227642.54,227642.54,0.0,H,CHALLENGER,False
H4CA45089,"RATHS, GREGORY G",167095.34,113367.75,121000.0,H,CHALLENGER,False
H2NJ05261,"CINO, MICHAEL J.",13543.0,1866.0,11881.0,H,CHALLENGER,False
S0UT00165,"LEE, MIKE",3272727.71,3563773.73,0.0,S,INCUMBENT,True
H6CA51066,"HIDALGO, JUAN M JR",52121.77,69761.68,2966.44,H,CHALLENGER,False
H4NV04017,"HARDY, CRESENT",1613271.47,1612094.24,0.0,H,INCUMBENT,False
S0PA00434,"SESTAK, JOSEPH A JR",3762609.0,2245747.0,0.0,S,CHALLENGER,False
H6MS01180,"MILLS, MICHAEL P. JR",178100.0,101100.0,80000.0,H,OPEN,False
H2GU00033,"BORDALLO, MADELEINE Z. MS.",133667.53,162992.8,0.0,H,INCUMBENT,False
H6PA02171,"EVANS, DWIGHT",1298831.83,1406719.06,0.0,H,CHALLENGER,True
H6NC09184,"CANO, FERNANDO CHRISTIAN JR",42127.26,19546.27,24479.72,H,CHALLENGER,False
H6GA09235,"SCUPIN, MICHAEL LEE",10654.99,11076.2,0.0,H,CHALLENGER,False
H2CO00035,"HANEY, PERRY",53160.65,1000.0,1000000.0,H,CHALLENGER,False
H6NJ12136,"LANCE, LEONARD",958340.3,1027145.54,0.0,H,INCUMBENT,True
H6FL02208,"DUNN, NEAL PATRICK MD, FACS",1743643.09,1297719.52,595000.0,H,OPEN,True
H6WA05155,"KAY, DAVID",25376.4,25376.4,0.0,H,CHALLENGER,False
H4MI04118,"MITCHELL, PAUL III",3713321.25,745118.45,3132610.0,H,OPEN,True
P60007143,"ZUTLER, DANIEL PAUL MR",2200.0,4000.0,0.0,P,OPEN,False
H6CO01208,"STOKHAM, CHARLES WESLEY (CASPER)",48937.61,56447.93,0.0,H,CHALLENGER,False
H6TX01246,"WINSTON, SIMON WOOD",59189.07,32449.0,333800.0,H,CHALLENGER,False
H6TX07110,"LLOYD, JAMES",167585.79,126470.83,56050.0,H,CHALLENGER,False
H4KY01073,"GASKINS, SAMUEL LEWIS",11734.33,13658.02,916.96,H,OPEN,False
P60009859,"MESSINA, PETER",5955.29,266.0,3809.93,P,OPEN,False
H8CA42061,"ROHRABACHER, DANA",532168.95,736628.36,0.0,H,INCUMBENT,True
H2GA13012,"SCOTT, DAVID ALBERT",767753.67,1182718.16,0.0,H,INCUMBENT,True
H4NC05146,"FOXX, VIRGINIA ANN",986686.45,1464717.77,0.0,H,INCUMBENT,False
H6KS01146,"HUELSKAMP, TIMOTHY A REPRESENTA",1315186.71,903024.78,0.0,H,INCUMBENT,False
H4IL18109,"MELLON, ROB",19007.0,21538.0,0.0,H,OPEN,False
H0NH01225,"ASHOOH, RICHARD E",267764.13,268175.22,0.0,H,CHALLENGER,False
H2OH02085,"WENSTRUP, BRAD DR.",726661.67,1050845.71,0.0,H,INCUMBENT,True
H2CA15094,"SWALWELL, ERIC MICHAEL",960410.84,1788569.64,0.0,H,INCUMBENT,True
H0TN03254,"FLEISCHMANN, CHARLES J",827747.49,1587994.14,0.0,H,INCUMBENT,True
H6CA48237,"SAVARY, SUZANNE JOYCE",63930.75,99985.08,0.0,H,CHALLENGER,False
H6NY18211,"LANGE, JOHN RICHARD",39439.76,39439.59,0.0,H,CHALLENGER,False
H4MN08083,"MILLS, STEWART MR.",3003266.49,1262708.94,1989097.2,H,CHALLENGER,False
H0WI07051,"DUFFY, SEAN",1651672.2,2133409.75,0.0,H,INCUMBENT,True
H4FL22086,"MCGEE, ANDREA LEIGH LEIGH",19289.17,20950.29,2867.94,H,CHALLENGER,False
H6NH02238,"LAWRENCE, JIM",59039.75,69672.61,6000.0,H,CHALLENGER,False
H0FL08042,"KELLER, RICHARD ANTHONY",22861.43,23350.0,0.0,H,CHALLENGER,False
S6FL00384,"GUTHRIE, SEAN PATRICK",131.0,409.0,0.0,S,CHALLENGER,False
H2FL20043,"KAUFMAN, JOE",104716.99,116492.56,5745.93,H,CHALLENGER,False
P60006723,"RUBIO, MARCO",394899772.77,410046440.98,0.0,P,OPEN,False
H6VA10209,"BENNETT, LUANN",1976059.94,2110187.99,90000.0,H,CHALLENGER,False
H6CA36182,"STONE, JEFFREY E",283798.77,341524.44,0.0,H,CHALLENGER,False
H6IN03229,"BANKS, JAMES E",1268380.07,1581125.05,0.0,H,OPEN,True
H4AR04048,"WESTERMAN, BRUCE MR.",358584.29,672721.99,0.0,H,INCUMBENT,True
H4GA12051,"YU, EUGENE MR.",55308.3,27907.87,27394.38,H,CHALLENGER,False
S6IL00334,"MARTER, JAMES THOMAS",70627.0,32697.0,39207.0,S,CHALLENGER,False
H6VA01174,"ROWE, MATTHEW",34542.47,40766.56,1000.0,H,CHALLENGER,False
S6SD01091,"WILLIAMS, JAY HENLEY",42494.0,60657.0,0.0,S,CHALLENGER,False
H6MD08481,"MATTHEWS, KATHLEEN",2738993.74,2132216.88,640000.0,H,OPEN,False
H6TX17119,"PATTERSON, WILLIAM RALPH",402897.86,6580.0,440525.0,H,CHALLENGER,False
S6LA00334,"FAYARD, CATHRYN CAROLINE",1508198.0,693483.0,890000.0,S,OPEN,False
H2TX03118,"JOHNSON, SAM MR.",1015714.11,1065344.04,0.0,H,INCUMBENT,True
H6WI01176,"BREU, TOM",30241.16,24442.2,0.0,H,CHALLENGER,False
H6TX21012,"SMITH, LAMAR",1533957.21,1455741.33,0.0,H,INCUMBENT,True
H6MI08247,"GILBERT, MELISSA",501323.51,714281.04,0.0,H,CHALLENGER,False
H6AZ02171,"STEELE, VICTORIA L",210686.82,238256.04,3855.68,H,CHALLENGER,False
H2TX31044,"CARTER, JOHN R. REP.",1046536.02,916458.96,0.0,H,INCUMBENT,True
H4CA12055,"KHANNA, ROHIT",3297165.37,3481284.23,0.0,H,CHALLENGER,True
H6OK02233,"JACKSON, JARRIN DALE",156527.68,115714.28,45500.0,H,CHALLENGER,False
